Text,Sentiment,Emotion,text_length,word_count
"তোমার বাবা তসলিমা নাসরিনের কাছে যায় যৌন সূখ নিতে,(এটা তসলিমা নাসরিনের নিজের উক্তি) সেটা তুমি দেখনাই। তোমার মাও কি সেই দুখে কারো সাথে রাত কাটানোর ফসল তুমি, সেটা তুমি দেখনাই। তাহলে কি তোমার কথাই আমরা ভেবে নিব তুমি জারজ।",Negative,Creepy,217,39
"তুই!! যা দেখিস না,,,তা তো বিশ্বাস করিস না,,,বেশ ভালো তো,,,তাহলে তো তুই জারজ সন্তান, হারামজাদী,,,,কারণ তোর কোন বাবা তোকে জন্ম দিছে সেটাও তো তুই দেখিস নি,,,তাহলে তোর বাবাকে বিশ্বাস করিস কেন?",Negative,Creepy,188,31
গোয়া মারার জন্য মানুষের অভাব নাই।,Negative,Creepy,33,6
তুমি গোয়া মারা খাও বেশি করে তো বুদ্ধি বাড়বে। হারামজাদী।,Negative,Creepy,55,10
"সারা বছর থাকেন খোলা খোলা, আজ পড়েছেন বোরখা! একি লীলা খেলা আপনার আপু?",Negative,Creepy,68,13
আসিফ ছাগুকে পুন্দাও আর কোন কথা নাই ।,Negative,Creepy,36,8
সেফুদার সাথে ইমুতে কথা হয়েছে। সেফুদা কইছে হেতিরে বাংলাদেশের রাস্তাঘাটে যত পাগল আছে সবগুলো একত্রে করে সেরিয়াল দিয়ে চুদাতে,Negative,Creepy,120,19
"ঐ মাগি তুইতো পরকাল ই বিশ্বাস করোস না,আবার আল্লাহ্‌র কাছে বিচার কেমনে দিলি?তুইতো আল্লাহ্‌  কে দেখোসনি আবার বিচার কেমনে দিলি।পাবলিক এর চুদা কেমন বুজে ফেলছো না?তুর মত মাগিকে মিডিয়ায় চুদে আমরা চুদি না।",Negative,Creepy,197,33
মাগির ব্লাউজ টা ছিড়ে ফেলতে পারতাম....,Negative,Creepy,37,6
আকাডা দিয়া কি মজা পায়।।????যা কাডা দিয়া পাওনাই।।। ????মাগি একটা।।,Negative,Creepy,65,10
মাত্র একটা মেয়ে তোরা এতো গুলোর জাতা কেমনে সামলায়।,Negative,Creepy,49,9
বসের সময় জন্মাইলে বস তোর লগে লাইন মারতো নয়তো খাইয়া দিত তোমারে,Negative,Creepy,61,12
"বাবু, ভুলে প্যান্ট পড়োনি..",Negative,Creepy,26,4
বেশ্যা যা বলার তাই বলতে পারে। আর একটা বেশ্যার কথায় আমরা সময় ও ধিক্কার জানাইতে পারি। আল্লাহ এ বেশ্যাকে তোমার পথে হেদায়েত দান করুন।,Negative,Creepy,129,24
"তোকে,শাহরিয়া করিব ওরফে মুরগী, সালমান মুক্তাদির,সেফাত উল্লাহ্‌ সেফু,হাসানুল হক ইনু,রাশেদ খান মেনন কে দিয়ে বিষ মারানো হবে মাগি, নষ্টা,বেশ্যা, বেজন্মা।",Negative,Creepy,148,20
তুর সোনার হতা হদ্দে নে মাগী?,Negative,Creepy,28,6
এদের কাজই দেশকে বিভক্ত করা |ইন্ডিয়াতে যেমন বাংলাদেশেও তেমন|,Negative,Bullying,59,9
দেখতে হিজ্রার মত লাগতেছে।নাস্তিক দুনিয়ার লালসাই পরকাল ভুলে যাই আবার না দেখে বিশ্বাস করেনা। পাগল ছাগল সেলিব্রেটি হলে যা হয় এই কুকুরদের দেখলেই জুতা দিয়া বারি,Strongly Negative,Creepy,155,26
জুতা মারতাম নাস্তিক তারে পাইলে,Strongly Negative,Creepy,30,5
"সবসময়ই নীরবে থাকতে পারবো না,,",Strongly Negative,Creepy,29,5
তুকে সামনে পাইলে হবে বাসা থেকে বাহির হইচছ ত জুতা দিয়ে পিটাবো,Strongly Negative,Creepy,60,12
শালির ফাঁসি চাই।,Strongly Negative,Creepy,16,3
এটা তামাশা লেখা নাকি জামাশা ?,Negative,Bullying,29,6
শয়তানে বাচ্চা,Strongly Negative,Bullying,13,2
এমন চাইর কোনাইচ্চা প্রোফাইল পিক কেম্নে দিলো?,Negative,Bullying,44,7
"বাজারের পণ্য বেডি,,,চকচক করলেই সোনা হয়না।। লেড়ী কুত্তি",Strongly Negative,Bullying,54,8
তামাশা সুদিয়ে লাভ নাই। ক্যারিয়ার শ্যাষ রানুদির পো...!!!,Strongly Negative,Bullying,55,8
বজ্জাত বেটি,Strongly Negative,Bullying,11,2
নাস্তিকের ফাসি চাই,Strongly Negative,Creepy,18,3
কমেন্ট ডিলেট কইরা লাভ নাই।।।কয়টা কমেন্ট ডিলেট করবা..বুজো নাই পাবলিক কি জিনিস..,Strongly Negative,Creepy,78,12
জুতা দিয়ে পিটানো দরকার,Strongly Negative,Creepy,22,4
"সাফা কবির বেশসা খানকির দুই গালে,জুতা মার তালে তালে।",Strongly Negative,Creepy,51,9
এই মহিলা পাগল।,Strongly Negative,Bullying,14,3
জায়েদ যদি এই কমেন্ট গুলো পড়ে দেখে তাইলে নিজেই নিজে আত্মহত্যা করবে।আসলে হিরো আলমের জন্যই জায়েদ কে চিনলাম।ভারতের হিরোদের নামের সাথে মিলিয়ে খান দিলেই ছাগল হাতি হয়ে যায় না।,Strongly Negative,Bullying,168,29
ছবিটা সুন্দর করে তুলেছে !! হলিউডের মত ; কিন্তু আমরা তো ডালিউড ; এখানে কেমন যেন বেমানান হয়ে গেল ! পরী মনি তো সুন্দরী । কিন্তু --,Strongly Positive,Unbiased,127,27
"সমালোচনা করার জন্য বলছি,দুরানি সুন্দরি ম্যাডাম তিশাকে অনেকখানি সুইট & কিউট লাগছে।",Strongly Positive,Unbiased,81,12
এদের কোন ধর্ম নেই তাই এরা সব ধর্মের শত্রু,Negative,Unbiased,41,9
আল্লাহর আর খেয়েদেয়ে কাজ নেই তুমার মত নাস্তিকের কমপ্লেন নিয়ে পরেই থাকবেএইসব নাট্যমি না কইরা উলটা যা ভুল করছো তার জন্যে 5 ওয়াক্ত নামাজ পরে ক্ষমা চাও।আর না হলে Nabil Maruf এর সাথে বিয়া দিয়ে দিবো,Negative,Unbiased,191,36
সে নাস্তিক এটা তার ব্যক্তিগত ব্যপার কিন্ত জনসম্মুখে প্রকাশ করে নিজেকে মুরতাদের দলে নাম লিখানোটা বুদ্ধিমানের কাজ নয়। যেহেতু বাংলাদেশে মুরতাদের স্থান নেই তাদের বিপক্ষে ৯৯% লোক। পেজের এডমিন নব্য এই নাস্তিকের পক্ষে প্রচারণা করার জন্য কি কোন ফি টি পেয়েছেন যদিও এটা পরিষ্কার আপনি কি চান।,Negative,Unbiased,281,47
স্বঘোষিত  নাস্তিক মুরতাদদের  বিরুদ্ধে নীরবতা তাদের আচরণের প্রতি সম্মতির লক্ষন। অতএব আমাদের এতো সংযমী হওয়া উচিৎ নয় যাতে তারা পার পেয়ে যায়। আমার একান্ত ব্যক্তিগত মতামত। ধন্যবাদ,Negative,Unbiased,174,27
"সৃষ্টিকর্তা বলতে কেউ নাই, তাহলে আসিফ উরপে মগাচিপের সৃষ্টি কিভাবে?উত্তর না আসলে থাপ্রায়া উর চাপার দাত ফেলেদেব।",Negative,Unbiased,109,17
"সৃষ্টিকর্তা বলতে কেউ নাই, তাহলে আসিফ উরপে মগাচিপের সৃষ্টি কিভাবে?উত্তর না আসলে থাপ্রায়া উর চাপার দাত ফেলেদেব।আর আসিফ এমন কেউ না যে তার জন্য লিংকে যেতে হবে .... জানেন তো স্যান্ডেল দামি হতে পারে তবে বিছানায় রাখার মত দাম তার নাই",Negative,Unbiased,225,41
নব্য নাস্তিক মাগি।।। তুই জাহান্নামি।,Negative,Unbiased,36,5
আয় খানকি। নতুন নাস্তিক তুই।।।তোর মুখে আল্লাহ নাম মানায় না।। তুই কি আগে জানতি না।। তুই বলার পর বলিস আমি আল্লাহ এর কাছে ক্ষ্মমা চাইছি।।। তুই ধংস হ।।।,Negative,Unbiased,147,28
"তোর মত নাস্তিকের এদেশে থাকার অধিকার নাই,",Negative,Unbiased,40,7
লুচ্চার ঘরে লুচ্চা,Strongly Negative,Bullying,18,3
খাটাসমনি,Strongly Negative,Bullying,8,1
"গালি দিলে, ধর্ষণ এর হুমকি দিলে, হত্যার হুমকি দিলে সওয়াব কামানো যায়। শালার হিপোক্রেট গুলো। ধর্মকে বেচে খাচ্ছে",Strongly Negative,Bullying,108,18
তো কি করতাম? নাচতাম?,Negative,Bullying,20,4
অাগে মরে দেখ।,Strongly Negative,Creepy,13,3
ভোদা কবির।তোর নাটকের কপালে জুতা ও থুতু মারি।তোরে আনলাইক দিলাম।,Strongly Negative,Creepy,62,10
মালাউনের বাচ্চা কে জবাই করা উচিত,Strongly Negative,Creepy,32,6
জামালপুরের ডিসি সাহেবের পক্ষ থেকে অভিনন্দন,Neutral,Creepy,42,6
"কাছের মানুষ এখন সৃজিত কাকা,আর দূরে থাকা মানুষটি হচ্ছে তাহসান ভাই।শর্টফিল্ম দেখে কি হবে আমজনতা জানে তোমিথিলা মিথিলা তুমি কখনো তাহসান পাবেনা,সৃজিতের মত বুইড়া বেটারে বিয়া কইরা তুমি কি পাইলা।।#আলো গানের ভার্সন টু আসিতেছে",Neutral,Creepy,216,34
কি বাবে জে বলতে পারছেন এই কথা বোন তৌবা তৌবা করেন আল্লা খমাকরার মালিক আপনে ১ বার ছোক বন্দ করে বাবেন আপনার ঘরের চাদে কয়টা পিলার  লাগাইছেন আর আল্লহ তালার মহা আকাশের কয়েটা পিলার দেখছেন জেটা আপনার মাথার উপরের বড় চাদ,Neutral,Creepy,210,41
আল্লাহ কাছে ক্ষমা চাওয়া . এটা কি ফেসবুকে পোস্ট করতে হবে । জনপ্রিয়তা ফিরে পাবার জন্য । নিজের স্তন কাপর ঠেলে বাইরে বেরিয়ে আসে এ সব ছবি ফেসবিকে পোস্ট করা । টাকার বিনিময়ে নিজের শরীর অন্যের হাতে তুলে দেওয়া । এটা কার কাছে বিচার চাবে ?,Neutral,Creepy,228,46
"জাহিদ, জাহেদ, জায়েদ খান মানুষ তার নামি ঠিক মত জানে না কে মালটা? আমার তো মনে হয় হালায় মদ খেয়ে লাইভে আসছে",Neutral,Creepy,103,22
"যা বলেছ ব্রাদার, মন ভরে গেছে।",Neutral,Creepy,29,6
পরিচালক এ রা সবাই মিলে যে পড়ি মনি কে খেলায় শুধু আসে আর যায়. এই সব ফালতু পিক ফেইসবুক এ আপলোড করে আর সারা রাত টাকার লাগায় নিচে এবং উপরে. আরে মাগি পরনে প্যান্ট আছে কি না জানে কে. বাঙালি র সানি লিওন.,Neutral,Creepy,195,43
যত দেখি তৃষ্ণা মিঠে না।,Neutral,Creepy,23,5
চল যাইগা পাটক্ষেতে,Neutral,Creepy,18,3
"আজ তোমাকে মিয়া খলিফা মনে হচ্ছে, চলো না কুজন মিলে দুজন লিটনের ফ্লাটে ঘুড়ি, আয় আজকা  বাড়ি খাইল্লা,,,",Neutral,Creepy,98,18
অরে লাগাবে সবাই এখন,Neutral,Creepy,19,4
এখন সোশ্যাল মিডিয়া সামাল দিতে এই পোষ্ট? - কিন্তু একজন মুসলিম সন্তান হিসেবে তোমার কথা বলার আগেই ভাবা উচিৎ ছিলো যে কি বলছো তুমি। আমি তোমার পোষ্ট সামনে আসা মাত্রই নাউজুবিল্লাহ বলি।আল্লাহর কাছে তওবা করো।,Neutral,Creepy,199,35
ওরে খাইছেরে...!!কাঁধে ওঠে গেলো মেশিন আমার৷,Neutral,Creepy,42,6
মাক্স পড়ে কিস কেমনে করো ম্যান?একটু শিখাও,Neutral,Creepy,40,7
এই অডিও দ্বারা কি বুঝাতে চাচ্ছেন আপনারা?একজন সম্মানি লোকের সম্মান নিয়ে টানাটানি করছেন আপনারা।স্বামী স্ত্রীর মধ্যে পরিবারে এমন হলেও হতে পারে 'তাই বলে এটাকে ইসু করে আপনারা রাজনীতি করছেন ।কোন পরিবারে এমন হয়না বলেন ?যদি আপনার না হয় আপনি মিথ্যা বলেন ।আফসোস আপনাদের প্রতি,Neutral,Creepy,265,44
সারা বছর ছোট ছোট পোশাক পড়ে ছবি তৈরি করে রমজান মাসে এখন কি হাজি সাজছেন নাকি । পরে তো আবার যা ছিলেন তাই হয়ে যাবেন কি দরকার ছিল এটা দেখানো,Neutral,Creepy,137,30
নটির আবার কিসের ইহকাল আর পরকাল,Neutral,Creepy,30,6
এই বেশ্যারে গেইলের কাছে বিক্রি করা যাবে? MH Mohsin,Neutral,Creepy,50,9
বাংলাদেশর নতুন নাস্তিক সাফা মিয়া,Neutral,Unbiased,33,5
গরীবের নাতাশা মালকোভা,Neutral,Creepy,21,3
ওকে হত্যা মোমিনের জন্য ফরজ,Strongly Negative,Creepy,26,5
"পত্রিকা কি কম বিক্রি হচ্ছে ? এরাকি সাংবাদিক নাকি সাংঘাতিক ? এমন একটা মেয়ে, আবার তার মতামত নিয়ে পত্রিকায় ছাপানোটা কি খুব বেশি দরকার ছিল ? দেশে তো কতকিছুই ঘটে ! ফালতু সাংবাদিক কোথাকার।",Negative,Bullying,182,34
রঙের ঠেলায় মুখ দিয়ে যা তা বের হয় আস্তা খবিশ খা এবার বাশ,Strongly Negative,Bullying,55,13
ডানাকাটা পরী..,Negative,Bullying,14,2
প্রফাইল এ গিয়েছিলাম আনলাইক মারতে।পরে দেখি হেতেরেত আমি ফলো ই করিনাই।ফইন্নির ঘরের ফইন্নি।জীবনে বয়সে ছোট কোনো ব্যক্তিরে তুই বলিনাই।মনডা চাইতেছে দুনিয়াতে যত গালি সব তাকে দেই...,Negative,Bullying,172,26
যে পরকাল বিশ্বাস করেনা সে আবার আল্লাহ্‌'র কাছে বিচার দেয়!!!কত বড় ফইন্নির ঘরের ফইন্নি।,Strongly Negative,Bullying,85,14
ঢেলে দিতে বলছি বলে এত্তো গুলা ঢেলে দিতে বলি নাই,Negative,Bullying,47,10
জুতা মারী,Strongly Negative,Creepy,9,2
ক্রিকেটার সাকিব যেমন  বিশ্ব সেরা তেমনি ব্যাক্তি সাকিব ও হ্নদয়বান ও বিশ্ব সেরা। আপনি এই দুঃসময়েও বিপদগ্রস্ত মানুষের পাশে যেভাবে দাঁড়ালেন তার জন্য আপনার প্রতি শ্রদ্ধা ও ভালোবাসা আরও বহুুগুন বেড়ে গেলো।পরম করুনাময় আপনার মঙ্গল করুন ♥♥♥♥।ধন্যবাদ আপনাকে বাংলাদেশের জান সাকিব আল হাসান,Strongly Positive,Unbiased,276,43
স্যালুট তোমায়... স্যার। God bless rest his Soul...,Strongly Positive,Unbiased,50,8
যোগ্য লোকের যোগ্য সম্মান। Love for Mash,Strongly Positive,Unbiased,39,7
খোলা পাজামা,Negative,Creepy,11,2
"আমি চিতকার করে কাঁদিতে চাহিয়া করিতে পারিনি চিতকার ,বুকের ব্যথা বুকে জমা রেখে  নিজেকে দিয়েছি ধিক্কার !",Negative,Unbiased,101,17
জারজ সন্তান।।,Negative,Bullying,13,2
মাগি।।।,Negative,Creepy,7,1
ঘুপসি মাগি  আজ থেকে আর তোর কোন নাটক দেখবো না,Negative,Creepy,44,10
অ্যাাাা চুদা একটর শালী,Negative,Creepy,22,4
"কাল দেখলাম ল্যাংটা, আজকে হিজাব।",Negative,Creepy,31,5
"শুয়োরের বাচ্চা মাগির পুত, তোর মার সাথে তুর চুদার করার রেকর্ডিং ভিডিও দিছোত নাকি, খানকিরপুত সাউয়ামীলীগ এর ঘুড়ারচুদা,",Negative,Creepy,118,18
বিক্রম সাতার পারে তো? হালায় তো ডুইবা মরবো,Negative,Bullying,41,8
"চারটাই ছাগী, একটাও খাসি/পাডা নাই। প্রজন্ম বাড়বে কেমনে বাল????রবি ঠাকুর বেচে থাকলে একটা কবিতা লেখতোতিনটা ছাগী, একটা মাগীপাসের বাসার বউদি বাজাচ্ছেচ্যাগী চ্যাগী চ্যাগী চ্যাগী",Negative,Creepy,171,24
শরীরের পুরো কাপড় খুলে দে,Negative,Creepy,25,5
মাগি,Negative,Creepy,4,1
শরীরের পুরো কাপড় খুলে দে,Negative,Creepy,24,5
গরীবের সানি লিওন..,Negative,Creepy,18,3
এই মাগীর পক্ষে কথা বলার দালালরা কই,Negative,Creepy,34,7
পরকালে বিশ্বাস করে না আবার আবার আল্লাহর কাছে বিচার চাস। আল্লাহ তরে হিদায়াত দিক। বাইঞ্চুদি বেডি,Negative,Creepy,94,16
মিথিলা প্রভা এবং ফারিয়া এরা হলো বাংলার সানিলিওন,Negative,Creepy,47,8
পতিতা এখন ঢাকায়,Negative,Creepy,15,3
জাতীয় পতিতা,Negative,Creepy,11,2
"এইখানে রবিদার কোন দোষ নাই,,রবি দারে কেউ ভুল বুইঝেন না,, আসলে মেয়েটার চরিত্রই খারাপ,ডলা ডলি করা তার স্বভাব",Negative,Creepy,105,18
"একে বাংলাদেশ থেকে বিতাড়িত করা হোক,,,",Strongly Negative,Creepy,36,6
একে এদেশ থেকে বিতারিত করা হোক।।।,Strongly Negative,Creepy,32,6
বেয়াদব জুতা মেরে গরুদান তুই কি ভার দিবি আল্লাহ্ কাছে তুইতো তো যা চোখে দেখোস না তা বিশ্বাস করোস না তুই আল্লাহ্কে কি বিশ্বাস করবি ???? ফাজিল অসভ্য,Strongly Negative,Creepy,144,28
ফ্যানব্যাজ হারাচ্ছে বলে জুতা মেরে মাল্যদান? how funny...anyway ক্ষমা করার মালিক আল্লাহ।। আল্লাহ বিশ্বাস করেন পরকাল বিশ্বাস করতেন না এত দিন। ভালই ফাইজলামি করলেন।যাই হোক আল্লাহ আপনাকে হেদায়েত দিক।,Strongly Negative,Creepy,194,29
আমার থেকে হিরে আলম কে জুতা পিটা দিলাম,Strongly Negative,Creepy,37,8
ওকে কোথাও ভালো করে হাত পা বেধে রেখে সবাই মিলে কিছু একটা করা উচিৎ,Strongly Negative,Creepy,64,14
ওর আভিনয় আমার কাছে ভালই লাগতো কিন্তু ওর কথা শুনে আজ খেকে ওর কোন নাটক দেখবো না। আমি তাকে চরম ভাবে ঘ্রিনা করি।,Strongly Negative,Bullying,108,23
"সাফা বলেছে, তিনি যা দেখেন না তা বিশ্বাস করেন না, তাই উনি পরকাল বিশ্বাস করেন না।  তাহলে উনার যে বাবা আছেন, তাকে কিভাবে বিশ্বাস করেন,,",Negative,Bullying,132,25
পুরাই ফাউল.....!,Strongly Negative,Bullying,16,2
আগে আপনার হাতের নোক কাটুন,Negative,Bullying,25,5
ওরে কেউ থামা নইলে ভোজপুরিতে চালান করে দে…,Negative,Bullying,41,8
"মানুষের ঈমান নষ্ট হলে যা হয় আর কি,এইসব ময়লা আবর্জনা থেকে উঠে আসা,অসামাজিক ভাবে বেড়ে উঠা ছেলে মেয়েরা বলতে পারে এবং সেভাবে চলে ওরা।ওদের কারনে সমাজ আজ বিপদগামি..",Negative,Bullying,158,28
এই টারে জবাই করা উচিত,Strongly Negative,Creepy,21,5
"সাফা' জন সম্মুখে ক্ষমা চেয়ে নে, না হয় তুই বুঝবি পাব্লিক কি জিনিস।",Strongly Negative,Creepy,65,13
"তোরে জুতা মারার ধরকার আছে,,জারজ মেয়ে",Strongly Negative,Creepy,36,6
ওরে দেশে আসতে বলেন।,Strongly Negative,Creepy,19,4
সাঈদির দ্বারা সবই সম্বাব,Neutral,Creepy,24,4
"বেয়াদব চরমোনাইয়ের কুকুরেরা এডিট ভালই করতে পারে, কারণ ওরা পীরের ধোন চেটে খায়। কিন্তু বাবা মাকে ভাত দেয়না।",Neutral,Creepy,104,18
"ফেসবুকে যতজন ধর্মপ্রচারক আছে, ততজন যদি ধর্মচর্চাকারী থাকত, এদেশে মসজিদ-মন্দির-গির্জার পরিমাণ ১০ গুণ করতে হত!ধর্ম সব ফেসবুকে, ""আমিন না বলে যাবেন না"", ""hegab koi"", ""nasteker pussy cai"" ইত্যাদির মাঝেই ধর্মচর্চা সীমাবদ্ধ!Credit: Sanjidul islam seban",Neutral,Creepy,245,34
জাহিদ খান একটা বাইন চোদ নায়ওক ওর ছবি আমি দেখিনা আমার মনেহয় ও একা নায়ওক হলে সেই ছবি দরসক  দেখবেনা গেরানটি,Neutral,Creepy,104,21
সবই তো একই গোয়ালার গরু। এরই মধ্যে আবার ভালো খুজেন কেন? চলচিত্রই তো হারাম। আবার দেখেছি অনেকে হিরো আলমকে সাপোর্ট  করছেন। হিরো আলমের পাপের ভাগ ওরাও পাবে যারা তাকে সাপোট করছে। যারা হারাম পথে আছে সে যেই হোক আমরা তাকে সাপোর্ট করবো না,Neutral,Creepy,227,43
তোর প্রফাইল হ্যাকিং হইছে মাত্র ভাবতেছি জনি সিং রে ভাড়া কইরা আনমু ☺ একটানা ১২ ঘন্টা করামু,Neutral,Creepy,88,17
মিথিলার বাংলাদেশে চুইলা কলা ভালো লাগে নাই,Neutral,Creepy,41,7
এভাবে কথাবলেছে তাই বিশ্য ওনাকে চিনছে।এখন মাপ চাইলেও তার লাভ।,Neutral,Creepy,60,10
তোর পাছায় ঠস ঠস করে প্রচ্চুর মারার নির্দেশ দিয়েছেন সেফাতউল্লাহ কাকু....,Neutral,Creepy,71,11
ফেসবুক হ্যাক তাতেই মাফ চাওয়া চাইয়ি শুরু,Neutral,Creepy,39,7
ফটোগ্রাফার হ্লায় কিভাবে এই মাল না খাইয়া রইসে...? নাকি খাইয়া দিসে..? খুব জানতে ইচ্ছে করে,Neutral,Creepy,87,15
"মেয়েদের কমেন্টে লাইক পড়ছে হাজার, শত শত। আমি এত সুন্দর কমেন্ট করলাম আমার কমেন্টের একটাও লাইক নাই। এটা আমার প্রতি অবিচার। আল্লাহ সব দেখেন এবং জানেন আল্লাহ ক্ষমাশীল আল্লাহ এই অবিচারের বিচার করবে",Neutral,Unbiased,193,33
দেশনেত্রী বেগম খালেদা জিয়া জীপে না চড়ে প্রাইভেট কারে উঠে ঝুলবাজদের কবল থেকে কিছু সময়ের জন্য অন্তত নিজেকে সুরক্ষা করেছেন।,Neutral,Unbiased,120,20
"আনুশকা শার্মাকে নিয়ে ট্রল দেখতে দেখতে ক্লান্ত ছিলাম, নিজেকে এভাবে বাংগালী জাতির জন্য উৎসর্গ করায় তোমাকে ধন্যবাদ।",Neutral,Unbiased,112,17
দেশের অর্ধেক মানুষ মরে গেলেও শেখ বংশীয় ইতরগুলি নিজেদের সফল বলবে. ,Neutral,Unbiased,65,11
অামা‌দের দূভার্গ্য যে  অামরা এই  সমস্ত কুলাঙ্গার‌দের নি‌য়ে বে‌শি বে‌শি  মাতা মা‌তি ক‌রি।,Neutral,Unbiased,88,13
হালা চামচা! গুজব হলে সত্যটা কী?,Neutral,Unbiased,31,6
বাসায় জানে?! ,Neutral,Unbiased,13,2
শাকিব খান কই,Neutral,Unbiased,12,3
সকালে shirt pent পরে yoga করা ভালো ।।,Neutral,Unbiased,37,8
এদের বিচার সরকার করতে পারবে না....... এরা সরকার কে ব্যাবহার করেই আজ আমেরিকায়..... …..কিন্তু পীযূষ গেং রা যে দেশের শত্রু এটা বুঝতে না পারলে ভবিষ্যতে কপালে দুঃখ আছে........,Strongly Negative,Creepy,170,28
"নয়া নাস্তিক,,,তোর বাপে তোর মায়ের সাথে সহবাস কইরা তোর জন্ম দিছিলো,,,এইটা তুই না দেইখা তোর বাপেরে বাপ আর মায়েরে মা কেমনে ডাকছ?",Negative,Unbiased,124,22
"যারা ইসলাম বিদ্বেশী নাস্তিক,  তারা এদেশ ছেড়ে জাহান্নামে চলে যাক। এদেশ তাদের নয় এটা ধর্ম প্রিয় মানুষের দেশ",Negative,Unbiased,105,18
নিজের বডি কখনো দেখেছিস যে ওটা কার তৈরী কে তরে বানাইল এত সুন্দর করে।ইহুদি ও বিশ্বাস করে এই দুনিয়া এমনি এমনি সৃস্টি হয় নাই নিশ্চয়ই এর শস্টা একজন আছেন। আর তুই নাস্তিক চেয়েও নাস্তিক।,Negative,Unbiased,178,34
তরে জুতা মারা উচিত নাস্তকের বাচ্চা,Strongly Negative,Creepy,34,6
তোমার হোগা মারা শেষ? কখন কি বলতে হয় এইটা বুঝে বলতে হয়? সুন্দরের ঠেলায় মুখ দিয়া যা ইচ্ছা বের হয়ে গেলে এমনি হয়। যে আইডিটা খাইছে তারে স্যালুট আমার,Negative,Unbiased,143,29
উনি পুরাই মাল।,Negative,Creepy,14,3
দুধ চাইলে আমরা দেখতে পারি! আমাদের এইভাবে দেখনোর দরকার নাই।,Negative,Creepy,58,10
অনেক তো ঢাললা এবার খুলে দেও,Negative,Creepy,28,6
আজ বিশ্বাস করলাম শয়তান বহুরুপি।কাল তো আবার কাপড় খুলে নাচবি,Negative,Creepy,58,10
গোয়া মারা যা খাওয়ার তা আগেই খাইয়ালাইছো সালি ফকিন্নি,Negative,Creepy,51,9
"তুমি তো তোমার পাছা দেখতে পাওনা, তাই বলে কি তোমার পাছা নাই???",Negative,Creepy,60,12
তুই এক সময় ছিলি আমার ক্রাশ এখন হইলি টয়লেট এর ব্রাশ৷ তুই আসলে কথার কারনে পচনশীল হইলি।,Negative,Creepy,84,17
তোর গুষ্টি চুদি,Negative,Creepy,15,3
এ খান্কি মাগির পাথর মেরে দুনিয়া থেকে বিদায় কর,Negative,Creepy,47,9
"তকে চুদতে চাই মাগি তকে দেকতে মাগি লাগতেছে,,তকে জদি পাইতাম তর পাছা দিয়ে আমার সুনা তেল ছারা ডুকিয়ে দিতাম",Negative,Creepy,102,19
পরেও মাগীর ঘরের মাগীরা,Negative,Creepy,22,4
আজ আমি ছবিটা তুলে দেওয়া সবাই তোমার পাছা দেখচ্ছে,Negative,Creepy,47,9
পরি দয়া করে একটু ফাক করে দাও জানুআমি এখানে দুরুত্বতা বঝায় রেখে ফাক ফাক করে কমেন্ট করব ,Negative,Creepy,86,17
চুদাইয়া মুরি খাও তুমি,Negative,Creepy,21,4
যে ভাবে জরিয়ে ধরেছেন ঠাকুর দার তো পরে যাবে চুয়ে,Negative,Creepy,47,10
"পাছার মধ্যে দিয়া বাশ গেলেও আল্লাহকে স্মরণ করেনা, সামান্য ফেসবুক আইডির কারণে আল্লাহর কথা স্মরণ হয়েছে উনার। এইসব সস্তা মেয়েগুলো সেলিব্রেটি হবার পরে কি যে ভাবে নিজেকে আল্লাহ্ মালুম !",Negative,Creepy,179,30
নটির পোলা,Negative,Creepy,9,2
ভুস্কি মাগি খানকি মাগি তোর জন্মের ঠিক নাই।জারজ তুই পতিতায় জন্ম তোর,Negative,Creepy,66,12
সাফা কবির চুদি আকাশে বাতাসে,Negative,Creepy,27,5
তরাই ত কম না একটা নিরেট মূর্খ জ্ঞানহীন নিয়ে আলোচনা করতুছ আর ওর যে উদ্দেশ্য সেইটা আছিল করতাছুস,Negative,Bullying,93,18
"সালা তোকে কানের নিচে একটা মারতে ইচ্ছে করতাছে।অভিনয়ের মানে বুঝিস সালা।ভালোভাবে কথা বলতে পারেনা,আবালের বাচ্চা আবার হিরো হতে চায়।",Strongly Negative,Bullying,126,19
ঐ মহিলাকে জুতা গলায় দিয়ে ঘোরাতে হবে।,Strongly Negative,Creepy,36,7
"জুতা কবির, মুজা কবির ধন কবির",Strongly Negative,Creepy,28,6
সালারে কেউ মাইরালা,Strongly Negative,Creepy,18,3
ওরে রাজাকার,Strongly Negative,Bullying,11,2
বাল চিনে বালের হিরো,Strongly Negative,Bullying,19,4
তুই একটা পতিতা পল্লীর বেলুন এক্সিডেন্ট এর ফল,Strongly Negative,Bullying,44,8
আপনি আল্লাহর কাছে বিচার চাইছে আবার পরকালেও বিশ্বাস করেন নাটিভি পর্দার মত নাটক পাইছেন ফালতু কোথাকার,Strongly Negative,Bullying,98,16
করবে কেন? সে তো মুসলিমও না হিন্দুও না।,Negative,Bullying,38,8
তমার সৃজিত আংকেল কেমন আছে?,Negative,Bullying,26,5
